Left_Mean,Left_Median,Left_Mode,Left_Covarience,Left_InterquartileRange,Left_StandardDeviation,Left_Range,Left_Skewness,Left_Kurtosis,Left_ShapeFactor,Left_PeakToPeak,Left_SpectralEntropy,Left_MainFreq,CoP_XMean,CoP_XStd,CoP_XRange,CoP_YMean,CoP_YStd,CoP_YRange,Left_NumberOfPeaks,Left_MeanDistanceBetweenPeaks,Left_MeanAmplitudeOfPeaks,Front_HeelMean,Front_HeelStd,Task,SubID,Dominant_Hand
450.313620474407,464.64,0,60731.3305011258,171.93,246.43727498316,869.55,-0.392142228890615,2.58488628649195,0.0471240337594238,869.55,0.0395111260665029,0.875,-0.463008353145529,8.41782274423675,30.1939473469499,5.29262314935914,3.10478671363789,15.6481290545324,3,2.325,845.263333333333,1.67839003385341,0.60212619919995,Manual Handling,Sub14,R
446.086928838951,430,0,74644.3981713062,344.355,273.211270212827,908.72,-0.0925319899850437,2.13449880175807,0.0473467584816968,908.72,0.0411364589115514,1,-0.480111240211387,9.45286441123079,30.0706748466258,2.98560417918631,2.68463918936233,11.0163759718564,4,1.93333333333333,873.93,1.27268535744061,0.437905043369301,Manual Handling,Sub14,R
480.288838951311,503.93,0,65143.4390065253,210.435,255.232127692666,932,-0.442583312905934,2.61796947005545,0.0456298197013075,932,0.0345991974310041,1,-1.42709316911186,8.81652484679535,30.2297244460994,3.92070983957509,3.35929252070475,14.3355667024741,3,2.435,887,1.38564519288398,0.432792761018315,Manual Handling,Sub14,R
419.765330836454,446.81,0,93368.8760091717,617.3275,305.563211151427,933.72,-0.0860103386756015,1.70178830070343,0.0488086411276157,933.72,0.0458973599362448,1,0.345359192701064,10.6495008709581,30.3211200900841,2.63883659107182,3.28201044145527,14.19849577458,4,1.99,877.1725,1.18216069914789,0.401690561692428,Manual Handling,Sub14,R
454.369775280899,449.58,0,56194.7715341994,221.555,237.05436409018,902.4,-0.155685702329233,2.65880154515359,0.0469132243232003,902.4,0.0350929055449582,1.125,-0.916366647838648,8.35876357705587,30.5977674255076,3.65769123300434,4.10783799881468,16.2658135936198,3,3.055,883.693333333333,1.42422911840196,0.566308003348074,Manual Handling,Sub14,R
431.721710362047,454.66,0,82152.963279196,396.56,286.623382296693,906.1,-0.108689074101528,1.99244553598123,0.0481280267019278,906.1,0.044660992607898,0.75,-0.0776072302186087,9.98434328516582,30.3461487524501,2.146192305631,2.84538730069226,13.0899096295791,3,3.1,889.063333333333,1.14577380269471,0.25308480343107,Manual Handling,Sub14,R
404.15875156055,418.88,363.63,2564.40212268945,78.04,50.6399261718404,207.58,-0.036596976137168,2.0596246416092,0.049742087408508,207.58,0.000859645646533738,0.144337759404901,1.9164065383633,7.51935273025824,0.497253214600739,0.572763178975398,2.89640527623278,0.125,0,0,0,1.00176956693672,0.0711757518693542,Pick & Place,Sub14,R
388.059163545568,394.1,366.39,5191.15944867447,62.9424999999999,72.0497012393144,396.87,-0.500055038298927,4.42655151506245,0.0507634381142805,396.87,0.00192812636254056,0.766496991442264,2.75000543584482,15.6720120253156,-0.100360037970562,0.695638218901128,3.64162378074811,0.125,0,0,0,0.970121283336905,0.0882837340328519,Pick & Place,Sub14,R
393.570724094882,414,416.83,6746.49873197503,47.1575,82.1370728232692,530.7,-2.34286132972885,11.0344603224326,0.0504067395665723,530.7,0.00327934548832083,0.040009999070265,3.21836650420519,20.8096696389064,0.632467347374245,1.34068429423049,6.55699504110254,0.125,1,0,0,0.992769480585169,0.0852039212978641,Pick & Place,Sub14,R
403.004082397004,411.84,399.2,2250.9436284382,28.02,47.4441105769536,210.24,-0.590983946724734,3.12402126134296,0.0498132958345345,210.24,0.00122089956793307,-0.0919582840833394,1.8074336956069,7.88393017161237,2.90605278853622,1.39159737539277,5.54062988219156,0.125,0,0,0,1.19681451399608,0.147567243227394,Pick & Place,Sub14,R
373.721585518103,374,374,820.85990135799,36.475,28.6506527213254,132.32,0.421482957646567,2.7843905078594,0.0517280263697235,132.32,0.00113723556395458,0.899187046869868,1.15831831919233,5.03675747083423,0.723491740250686,1.45983865883042,5.69677785941318,0.375,0,0,0,1.01099812438884,0.12263563141054,Pick & Place,Sub14,R
384.96279650437,389.27,386.4,2349.94371941979,15.82,48.4762180808259,260.38,-1.42487457541858,5.67529790483822,0.0509671817452342,260.38,0.00165426178519733,0.447766844151391,1.86584839309253,9.36256946266655,0.456473544472867,0.925470226416,3.90901729099009,0.375,0,0,0,0.984115758545127,0.0525148321367009,Pick & Place,Sub14,R
426.826828963795,425.6,393.42,1183.28499443196,40.18,34.3989097855144,176.96,0.329573815501516,3.21965980449405,0.0484032078726209,176.96,0.00133297164310298,-0.801181938882303,1.30607135361637,6.79049316353356,0.950441246559426,1.84631781091529,8.67689804559462,0.625,0,0,0,1.00818921396898,0.171472279535363,Assembly,Sub14,R
439.445118601748,434.56,443.62,711.023885017166,35.34,26.6650311272491,128.4,0.375767962290217,2.62637856547407,0.0477032180745358,128.4,0.00122995781311312,-1.19787773791873,0.99897917102597,4.38713940401034,0.274036689485668,1.55417637065639,6.49374861999881,0.5,0,0,0,0.989253189917214,0.134478253091508,Assembly,Sub14,R
448.418239700375,460.6,361.12,3085.11240802247,92.2,55.5437882037449,224.67,-0.389512880147643,2.24049231175962,0.0472235210192882,224.67,0.00123807219686266,-1.55514609906926,2.06452936677652,8.14094431228524,0.173968352526302,1.41739809011472,5.71705801875118,0.25,0,0,0,0.962526614876333,0.123510465816569,Assembly,Sub14,R
462.443620474407,467.4,473.8,2703.77319762578,51.275,51.9978191622089,245.62,-0.72557797959997,3.66423380948765,0.0465018899130914,245.62,0.00147737418922254,-2.13157186657192,1.91071010073312,8.97512693153281,1.40381039680884,1.95261892559408,7.89217758202333,0.25,0,0,0,1.03249072919682,0.180396425693969,Assembly,Sub14,R
471.292372034956,449.45,408.96,6711.45777486642,91.99,81.9234873211975,351.64,0.921568866112168,3.19955590320393,0.0460632731474125,351.64,0.00248614322479165,-2.78077276821805,3.22243476605368,13.425282580038,0.463731326176036,1.14959559213386,5.24402225463117,0.25,0,0,0,0.95769930871295,0.124541042770604,Assembly,Sub14,R
422.928439450687,434.24,473.44,5028.42427918664,101.38,70.9113832835508,294.89,-0.41616020490064,2.4713585619463,0.048625777112184,294.89,0.00271029007936042,-1.18721661098585,2.77207658106881,11.9119932764159,1.86223450502074,2.05123567565623,8.08743702101123,0.375,0,0,0,1.11408464434953,0.190247582793334,Assembly,Sub14,R
418.002646691635,438.9,0,95675.5445827363,712.7,309.314636871158,975.36,-0.0872883192844319,1.66494118024096,0.0489114439560013,975.36,0.0801950498174507,-0.0835778727555686,11.1911854947987,30.815586508576,2.24132224387432,4.59246315348953,18.0135725342769,0.625,3,1.855,954.87,1.27751820837055,0.795763281229801,Walking,Sub14,R
