Left_Mean,Left_Median,Left_Mode,Left_Covarience,Left_InterquartileRange,Left_StandardDeviation,Left_Range,Left_Skewness,Left_Kurtosis,Left_ShapeFactor,Left_PeakToPeak,Left_SpectralEntropy,Left_MainFreq,CoP_XMean,CoP_XStd,CoP_XRange,CoP_YMean,CoP_YStd,CoP_YRange,Left_NumberOfPeaks,Left_MeanDistanceBetweenPeaks,Left_MeanAmplitudeOfPeaks,Front_HeelMean,Front_HeelStd,Task,SubID,Dominant_Hand
242.398664169788,189.63,0,35588.6141888383,271.2125,188.649447889037,777.79,0.833499793532723,3.12075821309203,0.0642295514223168,777.79,0.0261283100236845,0.25,4.99391537168673,8.00181829391438,30.1511351196776,4.00511730812169,3.94909741788582,16.4444631849754,2,4.37,701.87,1.28000883481243,0.294719658969467,Manual Handling,Sub5,R
388.06645443196,368.28,0,55795.6862564132,297.0525,236.21110527749,815.49,-0.0636133068504094,2.1244654351365,0.0507629612472461,815.49,0.0387696796124367,0.5,-0.664940610979215,9.12761984810306,30.5336093062251,4.0184603401794,4.09942626556851,18.7695905440757,1,0,0,1.40926169585197,0.449833476247623,Manual Handling,Sub5,R
342.482559300874,333,0,56509.2804668168,343.075,237.716807287194,810.6,0.332606680585914,2.05293889666205,0.0540356985094905,810.6,0.0288271780492184,0.125,1.23094991470553,9.25285298830157,30.0697126500055,3.80004980849429,3.76484085687333,17.2663197462043,3,2.77,760.736666666667,1.35082827916206,0.445505500254363,Manual Handling,Sub5,R
315.463183520599,207.2,0,74031.3958669775,564.08,272.087110806406,815.12,0.325508288841523,1.61737817927516,0.0563022381098698,815.12,NaN,0.25,2.33195939144648,10.5878435709399,30.0592672413793,3.95495633248091,3.37164450939144,13.6551389711861,2,4.38,787.17,1.25870772546787,0.260096118333854,Manual Handling,Sub5,R
367.488352059925,355.74,0,65634.1233955309,456.57,256.191575574863,840.32,0.216706060391655,1.81456171588648,0.0521648797871702,840.32,0.0431975401890012,0.25,0.28591752571908,10.1245542789144,30.0693130269995,4.06126577968264,3.29091773382118,13.0942067009307,2,1.93,705.06,1.34546947386499,0.334275098765475,Manual Handling,Sub5,R
342.501448189763,374.4,0,63970.2796469001,331.31,252.923465987045,827.75,0.345800779823288,2.01608930023527,0.0540342084597645,827.75,0.0454322580683159,0.375,1.51568363499518,9.7832493261045,30.2937476316787,3.81940777190448,3.04003488089115,11.9738302091876,2,5.13,821.415,1.35862505089737,0.30597068857181,Manual Handling,Sub5,R
406.002496878901,389.24,386.28,4426.3818450078,18.6825,66.5310592506072,334.88,0.885815385445174,3.58407191789636,0.0496290140908524,334.88,0.000944289241631135,-1.86538445845594,2.82499914921885,14.886795998501,0.468670035547827,1.62569027621987,5.9761465039855,0.25,0,0,0,0.997305357987377,0.155972931493621,Pick & Place,Sub5,R
398.643645443196,408.5,409.64,690.673897444132,6.74499999999995,26.2806753612637,118.71,-2.41583669219386,7.69564155011138,0.0500849883603854,118.71,0.00049430539004784,-1.72708163935448,1.24810515292069,5.34565570211262,-1.34051205702403,1.40466638785128,5.17697804615828,0.125,0,0,0,0.857090598716232,0.133996987887915,Pick & Place,Sub5,R
416.785767790262,413.09,411.28,167.212412191011,6.95999999999998,12.9310638460651,67.62,2.65647111853374,9.94377437928914,0.0489827946688076,67.62,0.00045592516528258,-2.64475092154613,0.488998721310123,2.48825504403789,-2.40280790835487,0.432927986973839,2.3063712711605,0.125,0,0,0,0.779574655123454,0.0280028998544554,Pick & Place,Sub5,R
421.968389513109,401.76,398.64,2671.42380077809,14.64,51.6858181784722,232.88,2.34804115879466,7.38635221226104,0.0486810616460041,232.88,0.000635579316143266,-2.84926235905662,2.10131926600251,9.16908217125481,-1.8827399458049,1.10425532905067,5.54041775369701,0.125,0,0,0,0.833323876456236,0.0967670789365498,Pick & Place,Sub5,R
396.067877652934,403.88,406.7,318.174528740013,21.355,17.8374473717517,75.9,-0.909928651300277,2.47919574145823,0.0502475845231114,75.9,0.000288463427781792,-1.75998843567025,0.79468605582909,3.35315511144332,-2.41573504101797,0.44747238880968,1.84637483924937,0.125,0,0,0,0.801853742574744,0.0324777451465208,Pick & Place,Sub5,R
422.316017478152,422.22,429,87.7222534946941,9.90499999999997,9.36601588161659,63.48,-0.747000156407389,5.2685772035969,0.0486610216976764,63.48,0.000761842145663106,-2.84593585927595,0.404182670131759,2.04255126800923,-1.91718939164637,0.549770705787625,2.44976968832715,0.375,0,0,0,0.806376651039235,0.0468951045401672,Pick & Place,Sub5,R
378.10252184769,399.16,352,7102.50792713233,77.67,84.276378227427,524.62,-1.60315179288541,7.32356165300784,0.0514274763333375,524.62,0.00235388845932977,-0.709297369684936,3.47209973228003,21.7382186881114,2.80854146421041,1.2794275531494,6.966701032604,0.5,0,0,0,1.13239736907029,0.0857500440294662,Assembly,Sub5,R
361.69734082397,365.77,419.16,4555.49459429494,97.4275,67.4944041702343,307.36,-0.452013845577609,2.50918788769061,0.0525808184748694,307.36,0.00227482895748576,-0.119013086495204,2.81241334611942,12.62364159351,3.74763709807685,1.03552917073742,4.54142739175074,0.375,0,0,0,1.23632247870237,0.0998879727777153,Assembly,Sub5,R
408.326791510612,439.5,494.56,8608.87363806773,147.69,92.7840160699446,372.81,-0.466574407160497,2.11743251409271,0.0494875623470575,372.81,0.00224534423581168,-2.22647915164596,3.91888216322621,15.7592465469996,3.10156101490452,1.24407767633342,5.43453259332522,0.125,0,0,0,1.17423151181954,0.113827346451367,Assembly,Sub5,R
